"","Unique_ID","Gender","Age Group","Marital_Status","State","Product_Category","Total_Orders","Total_Spends","Count"
"1","1000001_13_1_Western_Aviation_Electronics & Gadgets","F","0-17",1,"Maharashtra","Electronics & Gadgets",1,3977,1
"2","1000002_56_0_Western_Agriculture_Clothing & Apparel","F","55+",0,"Gujarat","Clothing & Apparel",3,7098,1
"3","1000003_33_0_Southern_Automobile_Footwear & Shoes","F","26-35",0,"Karnataka","Footwear & Shoes",3,12289,1
"4","1000003_35_0_Central_Govt_Food","F","26-35",0,"Uttar Pradesh","Food",3,11425,1
"5","1000004_47_0_Central_Retail_Footwear & Shoes","F","46-50",0,"Madhya Pradesh","Footwear & Shoes",1,20309,1
"6","1000004_47_1_Central_Construction_Decor","F","46-50",1,"Uttar Pradesh","Decor",2,10072,1
"7","1000005_27_0_Southern_Food Processing_Footwear & Shoes","F","26-35",0,"Karnataka","Footwear & Shoes",2,16927,1
"8","1000005_29_0_Western_Retail_Sports Products","F","26-35",0,"Maharashtra","Sports Products",2,10740,1
"9","1000007_36_1_Eastern_Media_Food","F","36-45",1,"Bihar","Food",2,15310,1
"10","1000007_45_1_Central_Aviation_Electronics & Gadgets","F","36-45",1,"Uttar Pradesh","Electronics & Gadgets",2,9769,1
"11","1000008_27_1_Northern_Automobile_Clothing & Apparel","F","26-35",1,"Punjab","Clothing & Apparel",4,8642,1
"12","1000008_28_0_Western_Healthcare_Sports Products","F","26-35",0,"Maharashtra","Sports Products",4,10996,1
"13","1000008_29_0_Central_Food Processing_Footwear & Shoes","F","26-35",0,"Delhi","Footwear & Shoes",3,12837,1
"14","1000009_28_0_Central_Food Processing_Footwear & Shoes","F","26-35",0,"Delhi","Footwear & Shoes",2,8214,1
"15","1000009_31_1_Central_Automobile_Household items","F","26-35",1,"Delhi","Household items",3,3127,1
"16","1000010_37_1_Southern_Media_Games & Toys","M","36-45",1,"Andhra Pradesh","Games & Toys",2,6421,1
"17","1000010_39_0_Central_Automobile_Clothing & Apparel","M","36-45",0,"Uttar Pradesh","Clothing & Apparel",2,6995,1
"18","1000010_39_0_Central_Govt_Beauty","M","36-45",0,"Uttarakhand","Beauty",3,1738,1
"19","1000010_43_1_Western_Aviation_Furniture","M","36-45",1,"Maharashtra","Furniture",3,8091,1
"20","1000010_45_0_Central_Chemical_Food","M","36-45",0,"Delhi","Food",2,15187,1
"21","1000013_49_0_Eastern_Govt_Electronics & Gadgets","F","46-50",0,"Jharkhand","Electronics & Gadgets",4,7823,1
"22","1000013_50_1_Southern_Aviation_Clothing & Apparel","F","46-50",1,"Karnataka","Clothing & Apparel",4,3616,1
"23","1000013_50_1_Western_IT Sector_Food","F","46-50",1,"Gujarat","Food",3,19105,1
"24","1000015_29_0_Southern_Chemical_Food","F","26-35",0,"Andhra Pradesh","Food",2,15254,1
"25","1000015_32_1_Central_IT Sector_Clothing & Apparel","F","26-35",1,"Uttarakhand","Clothing & Apparel",4,1919,1
"26","1000016_45_0_Western_Retail_Sports Products","M","36-45",0,"Gujarat","Sports Products",2,8177,1
"27","1000017_52_0_Western_Govt_Games & Toys","F","51-55",0,"Gujarat","Games & Toys",4,6735,1
"28","1000017_55_0_Western_Banking_Footwear & Shoes","M","51-55",0,"Maharashtra","Footwear & Shoes",2,12389,1
"29","1000018_18_1_Western_Media_Clothing & Apparel","M","18-25",1,"Maharashtra","Clothing & Apparel",3,8684,1
"30","1000018_24_1_Southern_Healthcare_Furniture","M","18-25",1,"Karnataka","Furniture",4,7979,1
"31","1000019_13_1_Southern_Healthcare_Clothing & Apparel","M","0-17",1,"Kerala","Clothing & Apparel",2,3753,1
"32","1000019_14_0_Western_Aviation_Food","F","0-17",0,"Gujarat","Food",2,11513,1
"33","1000022_19_1_Central_IT Sector_Food","F","18-25",1,"Madhya Pradesh","Food",4,12050,1
"34","1000022_21_0_Central_Healthcare_Clothing & Apparel","M","18-25",0,"Delhi","Clothing & Apparel",4,5219,1
"35","1000022_21_0_Northern_Healthcare_Clothing & Apparel","M","18-25",0,"Rajasthan","Clothing & Apparel",4,5219,1
"36","1000022_23_0_Western_Lawyer_Clothing & Apparel","F","18-25",0,"Gujarat","Clothing & Apparel",3,5434,1
"37","1000022_25_0_Eastern_IT Sector_Clothing & Apparel","F","18-25",0,"Bihar","Clothing & Apparel",1,5168,1
"38","1000023_38_1_Southern_Hospitality_Footwear & Shoes","F","36-45",1,"Karnataka","Footwear & Shoes",2,12315,1
"39","1000023_41_0_Southern_Chemical_Household items","F","36-45",0,"Karnataka","Household items",1,3772,1
"40","1000023_43_0_Northern_Healthcare_Electronics & Gadgets","F","36-45",0,"Rajasthan","Electronics & Gadgets",1,7986,1
"41","1000024_31_0_Central_Aviation_Food","M","26-35",0,"Madhya Pradesh","Food",1,15838,1
"42","1000024_32_0_Northern_Textile_Games & Toys","M","26-35",0,"Haryana","Games & Toys",4,16215,1
"43","1000026_29_0_Central_Automobile_Clothing & Apparel","F","26-35",0,"Uttar Pradesh","Clothing & Apparel",1,7107,1
"44","1000026_29_0_Central_IT Sector_Beauty","F","26-35",0,"Uttar Pradesh","Beauty",3,7519,1
"45","1000026_29_0_Northern_Healthcare_Electronics & Gadgets","F","26-35",0,"Himachal Pradesh","Electronics & Gadgets",1,7757,1
"46","1000026_31_0_Northern_Banking_Electronics & Gadgets","F","26-35",0,"Punjab","Electronics & Gadgets",4,8025,1
"47","1000026_32_0_Central_Aviation_Food","F","26-35",0,"Madhya Pradesh","Food",4,19145,1
"48","1000026_34_0_Southern_Textile_Furniture","F","26-35",0,"Karnataka","Furniture",2,12014,1
"49","1000028_34_1_Western_Media_Clothing & Apparel","M","26-35",1,"Maharashtra","Clothing & Apparel",4,1955,1
"50","1000029_42_1_Eastern_Aviation_Games & Toys","F","36-45",1,"Jharkhand","Games & Toys",2,6356,1
"51","1000030_41_0_Southern_Healthcare_Food","M","36-45",0,"Karnataka","Food",1,8032,1
"52","1000030_41_1_Central_Healthcare_Food","M","36-45",1,"Madhya Pradesh","Food",4,15468,1
"53","1000031_65_1_Central_Food Processing_Clothing & Apparel","F","55+",1,"Uttarakhand","Clothing & Apparel",4,8872,1
"54","1000033_46_1_Central_Lawyer_Food","F","46-50",1,"Uttar Pradesh","Food",1,7999,1
"55","1000033_47_0_Central_Banking_Furniture","M","46-50",0,"Uttar Pradesh","Furniture",4,16540,1
"56","1000033_48_0_Northern_Hospitality_Clothing & Apparel","F","46-50",0,"Himachal Pradesh","Clothing & Apparel",4,8765,1
"57","1000033_48_1_Western_Construction_Sports Products","F","46-50",1,"Maharashtra","Sports Products",1,13371,1
"58","1000033_49_0_Northern_Aviation_Games & Toys","F","46-50",0,"Haryana","Games & Toys",4,6548,1
"59","1000033_49_1_Western_Textile_Clothing & Apparel","F","46-50",1,"Gujarat","Clothing & Apparel",4,1748,1
"60","1000033_50_0_Central_Automobile_Food","F","46-50",0,"Uttar Pradesh","Food",4,12089,1
"61","1000033_50_0_Central_Aviation_Sports Products","F","46-50",0,"Uttar Pradesh","Sports Products",1,10857,1
"62","1000034_22_1_Western_Banking_Food","M","18-25",1,"Maharashtra","Food",4,7651,1
"63","1000035_47_0_Western_Banking_Decor","F","46-50",0,"Maharashtra","Decor",1,10021,1
"64","1000035_49_1_Central_Banking_Food","F","46-50",1,"Uttar Pradesh","Food",3,11966,1
"65","1000036_27_0_Central_Construction_Furniture","F","26-35",0,"Uttarakhand","Furniture",4,19895,1
"66","1000036_28_0_Northern_Govt_Clothing & Apparel","F","26-35",0,"Himachal Pradesh","Clothing & Apparel",4,5222,1
"67","1000036_29_0_Northern_IT Sector_Food","F","26-35",0,"Haryana","Food",2,15795,1
"68","1000036_31_0_Southern_IT Sector_Electronics & Gadgets","F","26-35",0,"Andhra Pradesh","Electronics & Gadgets",3,5923,1
"69","1000036_32_0_Southern_Aviation_Electronics & Gadgets","F","26-35",0,"Andhra Pradesh","Electronics & Gadgets",4,9699,1
"70","1000036_34_0_Central_Construction_Clothing & Apparel","F","26-35",0,"Uttar Pradesh","Clothing & Apparel",1,8897,1
"71","1000036_34_0_Western_Textile_Clothing & Apparel","F","26-35",0,"Gujarat","Clothing & Apparel",2,3673,1
"72","1000036_35_0_Eastern_Construction_Clothing & Apparel","F","26-35",0,"Jharkhand","Clothing & Apparel",2,5185,1
"73","1000037_30_1_Eastern_Lawyer_Clothing & Apparel","M","26-35",1,"Jharkhand","Clothing & Apparel",4,5310,1
"74","1000042_27_0_Western_Healthcare_Household items","F","26-35",0,"Maharashtra","Household items",2,1521,1
"75","1000042_35_0_Central_IT Sector_Furniture","F","26-35",0,"Uttar Pradesh","Furniture",4,16175,1
"76","1000044_50_1_Southern_Media_Footwear & Shoes","M","46-50",1,"Karnataka","Footwear & Shoes",4,16219,1
"77","1000045_47_1_Central_Govt_Clothing & Apparel","M","46-50",1,"Madhya Pradesh","Clothing & Apparel",3,5223,1
"78","1000045_48_1_Central_Govt_Beauty","M","46-50",1,"Delhi","Beauty",3,6047,1
"79","1000045_49_0_Southern_Govt_Household items","M","46-50",0,"Karnataka","Household items",4,3035,1
"80","1000045_49_0_Southern_Media_Stationery","M","46-50",0,"Karnataka","Stationery",4,4905,1
"81","1000045_49_1_Western_IT Sector_Veterinary","M","46-50",1,"Maharashtra","Veterinary",3,732,1
"82","1000048_28_1_Central_Govt_Beauty","F","26-35",1,"Madhya Pradesh","Beauty",4,3235,1
"83","1000048_32_1_Northern_Hospitality_Electronics & Gadgets","F","26-35",1,"Punjab","Electronics & Gadgets",4,4016,1
"84","1000048_34_0_Southern_IT Sector_Electronics & Gadgets","F","26-35",0,"Andhra Pradesh","Electronics & Gadgets",2,10008,1
"85","1000049_24_0_Southern_Media_Food","F","18-25",0,"Karnataka","Food",4,19297,1
"86","1000053_27_0_Eastern_Media_Office","M","26-35",0,"Bihar","Office",4,749,1
"87","1000053_27_1_Southern_Banking_Clothing & Apparel","F","26-35",1,"Kerala","Clothing & Apparel",1,8684,1
"88","1000053_29_0_Central_Chemical_Footwear & Shoes","M","26-35",0,"Uttar Pradesh","Footwear & Shoes",2,4178,1
"89","1000053_29_0_Northern_IT Sector_Clothing & Apparel","F","26-35",0,"Rajasthan","Clothing & Apparel",4,6918,1
"90","1000053_30_0_Central_Chemical_Clothing & Apparel","F","26-35",0,"Uttar Pradesh","Clothing & Apparel",2,6855,1
"91","1000053_31_0_Southern_IT Sector_Footwear & Shoes","F","26-35",0,"Karnataka","Footwear & Shoes",3,4691,1
"92","1000053_31_1_Southern_Hospitality_Auto","F","26-35",1,"Andhra Pradesh","Auto",3,18614,1
"93","1000053_32_1_Southern_IT Sector_Clothing & Apparel","F","26-35",1,"Andhra Pradesh","Clothing & Apparel",3,7125,1
"94","1000053_32_1_Southern_Retail_Clothing & Apparel","F","26-35",1,"Karnataka","Clothing & Apparel",3,1799,1
"95","1000053_33_1_Southern_Aviation_Footwear & Shoes","F","26-35",1,"Karnataka","Footwear & Shoes",4,20677,1
"96","1000053_33_1_Western_Hospitality_Clothing & Apparel","F","26-35",1,"Gujarat","Clothing & Apparel",1,7001,1
"97","1000057_18_1_Central_Retail_Food","F","18-25",1,"Uttar Pradesh","Food",2,7956,1
"98","1000058_28_0_Southern_Healthcare_Household items","F","26-35",0,"Karnataka","Household items",1,2271,1
"99","1000058_33_0_Southern_Retail_Footwear & Shoes","F","26-35",0,"Karnataka","Footwear & Shoes",3,20288,1
"100","1000058_34_0_Southern_Lawyer_Footwear & Shoes","M","26-35",0,"Karnataka","Footwear & Shoes",4,12698,1
"101","1000059_52_0_Western_Govt_Electronics & Gadgets","M","51-55",0,"Maharashtra","Electronics & Gadgets",4,7936,1
"102","1000061_28_1_Southern_Construction_Household items","F","26-35",1,"Karnataka","Household items",3,3128,1
"103","1000062_37_0_Northern_Retail_Electronics & Gadgets","M","36-45",0,"Rajasthan","Electronics & Gadgets",3,9924,1
"104","1000062_40_1_Southern_Banking_Clothing & Apparel","M","36-45",1,"Karnataka","Clothing & Apparel",1,5374,1
"105","1000062_40_1_Southern_Chemical_Food","M","36-45",1,"Karnataka","Food",2,15197,1
"106","1000062_40_1_Southern_Hospitality_Clothing & Apparel","M","36-45",1,"Karnataka","Clothing & Apparel",3,1865,1
"107","1000062_44_1_Southern_Banking_Books","M","36-45",1,"Karnataka","Books",3,10330,1
"108","1000062_44_1_Southern_Lawyer_Office","M","36-45",1,"Kerala","Office",3,775,1
"109","1000062_45_0_Eastern_IT Sector_Food","M","36-45",0,"Bihar","Food",2,12005,1
"110","1000062_45_1_Northern_IT Sector_Clothing & Apparel","M","36-45",1,"Rajasthan","Clothing & Apparel",2,5249,1
"111","1000064_21_0_Central_Construction_Clothing & Apparel","F","18-25",0,"Uttar Pradesh","Clothing & Apparel",1,2047,1
"112","1000065_36_1_Western_Aviation_Household items","F","36-45",1,"Maharashtra","Household items",1,2349,1
"113","1000065_41_0_Central_Construction_Food","F","36-45",0,"Uttar Pradesh","Food",3,15792,1
"114","1000065_44_0_Northern_Retail_Electronics & Gadgets","F","36-45",0,"Haryana","Electronics & Gadgets",4,9740,1
"115","1000065_45_0_Southern_Hospitality_Clothing & Apparel","F","36-45",0,"Kerala","Clothing & Apparel",3,5442,1
"116","1000068_19_0_Central_Hospitality_Decor","F","18-25",0,"Uttar Pradesh","Decor",3,9884,1
"117","1000068_20_1_Southern_Food Processing_Food","F","18-25",1,"Karnataka","Food",1,19326,1
"118","1000068_24_1_Northern_Hospitality_Clothing & Apparel","F","18-25",1,"Haryana","Clothing & Apparel",1,1876,1
"119","1000069_34_0_Central_Chemical_Furniture","M","26-35",0,"Uttar Pradesh","Furniture",4,12310,1
"120","1000069_35_1_Central_Aviation_Clothing & Apparel","M","26-35",1,"Delhi","Clothing & Apparel",1,7188,1
"121","1000071_33_0_Central_Retail_Footwear & Shoes","F","26-35",0,"Delhi","Footwear & Shoes",3,20169,1
"122","1000075_13_0_Central_Hospitality_Games & Toys","F","0-17",0,"Uttar Pradesh","Games & Toys",4,6864,1
"123","1000075_15_0_Central_Govt_Furniture","M","0-17",0,"Uttar Pradesh","Furniture",1,16662,1
"124","1000075_15_0_Southern_Media_Clothing & Apparel","M","0-17",0,"Karnataka","Clothing & Apparel",1,5444,1
